date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:01	160468/160468	---M-Z	200	added ('OK')	text/html	etag:%227cb2a926a607a2ca417882714875e7f4-ssl-df%22	https://qude.audio/	C:/My%20Web%20Sites/Audio/qude.audio/index.html	(from )
14:17:01	28/28	---M--	200	added ('OK')	text/plain	etag:%22a2cd87d024b35d2e14a1833372aa5889-ssl%22	https://qude.audio/robots.txt		(from )
14:17:02	269342/269342	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%228a7f8f50950b4793292e75d5c24244d1-ssl%22	https://qude.audio/favicon.ico	C:/My%20Web%20Sites/Audio/qude.audio/favicon.ico	(from https://qude.audio/)
14:17:03	21793/21793	---M--	200	added ('OK')	image/png	etag:%22f852e060ecda07ad0b6ef51830500d40-ssl%22	https://qude.audio/OG-@2x.png	C:/My%20Web%20Sites/Audio/qude.audio/OG-@2x.png	(from https://qude.audio/)
14:17:03	35101/35101	---MCZ	200	added ('OK')	text/css	etag:%228541bd41f73dc5b52f18d5dfc0b3e4f8-ssl-df%22	https://qude.audio/_next/static/css/3e9378cb24c31db4.css	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/css/3e9378cb24c31db4.css	(from https://qude.audio/)
14:17:04	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:%22a71b61054f62d156643ddbd7e8d59e28-ssl-df%22	https://qude.audio/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://qude.audio/)
14:17:05	1445/1445	---M-Z	200	added ('OK')	application/javascript	etag:%22d09a71deb23e0381b0fb533b56ab9a71-ssl-df%22	https://qude.audio/_next/static/chunks/webpack-b8f8d6679aaa5f42.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/webpack-b8f8d6679aaa5f42.js	(from https://qude.audio/)
14:17:06	141052/141052	---MCZ	200	added ('OK')	application/javascript	etag:%22eb8969a1fed21f686faad41f887891f8-ssl-df%22	https://qude.audio/_next/static/chunks/framework-2c79e2a64abdb08b.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/framework-2c79e2a64abdb08b.js	(from https://qude.audio/)
14:17:06	89393/89393	---MCZ	200	added ('OK')	application/javascript	etag:%2208ef9d680b9033a8d418e348b063ff08-ssl-df%22	https://qude.audio/_next/static/chunks/main-e07147f7d4a4a981.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/main-e07147f7d4a4a981.js	(from https://qude.audio/)
14:17:06	19068/19068	---MCZ	200	added ('OK')	application/javascript	etag:%22c141174c7b930339d45706c9b7d6e385-ssl-df%22	https://qude.audio/_next/static/chunks/pages/_app-5c4929af552bcd23.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/pages/_app-5c4929af552bcd23.js	(from https://qude.audio/)
14:17:08	51266/51266	---MCZ	200	added ('OK')	application/javascript	etag:%223f7b5f0391eca2cfde6c8f1162997bdc-ssl-df%22	https://qude.audio/_next/static/chunks/94726e6d-808de5cfe86fd960.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/94726e6d-808de5cfe86fd960.js	(from https://qude.audio/)
14:17:08	27650/27650	---MCZ	200	added ('OK')	application/javascript	etag:%22b1c1eabd80ffbf0e9936d68190281be4-ssl-df%22	https://qude.audio/_next/static/chunks/833-c1191d138034352f.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/833-c1191d138034352f.js	(from https://qude.audio/)
14:17:09	19746/19746	---MCZ	200	added ('OK')	application/javascript	etag:%22308eb2d6847be74854e4b90142f2ed0c-ssl-df%22	https://qude.audio/_next/static/chunks/736-b500c4c5d040f47c.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/736-b500c4c5d040f47c.js	(from https://qude.audio/)
14:17:09	5175/5175	---MCZ	200	added ('OK')	application/javascript	etag:%22a92c4a30a02468cf2e272779b6d274fa-ssl-df%22	https://qude.audio/_next/static/chunks/664-e2359597ac708d8d.js	C:/My%20Web%20Sites/Audio/qude.audio/_next/static/chunks/664-e2359597ac708d8d.js	(from https://qude.audio/)
